time,distance
0.0,0.5306776928272376
0.049,4.04055555555556
0.282,20.749853565927978
0.368,26.990833333333338
0.703,51.85988155310359
0.768,56.76861111111111
0.862,63.90949667057651
1.208,90.50194444444445
1.223,91.65825599692117
1.368,102.85750000000002
1.463,110.24663017942991
1.608,121.59083333333335
1.682,127.39692871537508
1.783,135.34186156886287
1.808,137.31305555555556
2.008,153.1463888888889
2.023,154.33782863198692
2.248,172.27972222222226
2.263,173.4817391618835
2.543,196.038422504186
2.568,198.05750000000003
2.728,210.99083333333337
2.863,221.92669679269824
2.968,230.4575
3.183,248.0082185660967
3.248,253.3241666666667
3.623,284.04643830522264
3.648,286.1019444444445
3.783,297.22195242893974
3.968,312.50194444444446
4.168,329.0575
4.223,333.6227747075744
4.368,345.66861111111115
4.443,351.88620691777334
4.688,372.15749999999997
4.883,388.30518055257426
4.928,392.02416666666664
5.043,401.5073130737922
5.288,421.62416666666667
5.343,426.1281646476211
5.642,450.5434345479493
5.688,454.2908333333333
5.803,463.6507324867096
5.848,467.31305555555554
5.962,476.5950199726139
6.168,493.3575
6.202,496.1183597263531
6.369,509.6608333333333
6.462,517.1994099638387
6.649,532.3719444444445
6.702,536.6821667384569
6.849,548.6497222222223
7.062,565.9818068880542
7.088,568.1016666666667
7.288,584.4350000000001
7.322,587.2066370734739
7.463,598.6785402521787
7.528,603.9683333333334
7.728,620.2461111111112
7.763,623.0824376373174
8.063,647.2367284838685
8.128,652.4683333333335
8.283,664.9548594005831
8.288,665.3572222222224
8.462,679.3314959795301
8.608,691.0461111111113
8.742,701.8060888898618
8.768,703.8905555555557
8.928,716.6905555555556
9.203,738.7055586386069
9.302,746.6159338942123
9.328,748.6905555555555
9.488,761.4016666666666
9.602,770.3066084993893
9.768,782.7127777777779
9.923,793.259962981082
10.048,800.9127777777778
10.122,805.0436001535788
10.263,812.1219331712191
10.408,819.0127777777778
10.583,827.1887709984851
10.728,833.7683333333334
10.803,837.0786349370094
10.968,844.1016666666668
11.023,846.3454945143861
11.248,855.0683333333334
11.263,855.629740472471
11.523,864.9968494128376
11.648,869.2905555555557
11.903,877.6734285981746
12.088,883.5905555555556
12.248,888.6572222222223
12.282,889.7145511292952
12.488,895.9905555555557
12.502,896.4142374055773
12.722,903.0510930772516
12.928,909.312777777778
13.022,912.2071857382949
13.089,914.2769444444447
13.329,921.7436111111114
13.382,923.4328561882711
13.489,926.8991666666669
13.582,929.9735596017628
13.783,936.7696321355735
13.808,937.6211111111113
14.122,948.5158362009208
14.128,948.7322222222224
14.288,954.5988888888891
14.488,961.9322222222223
14.523,963.257579830529
14.702,970.161771780773
14.728,971.1322222222224
14.928,978.1877777777779
15.123,984.4400108637666
15.208,987.0544444444446
15.368,991.8544444444445
15.502,995.6799654262305
15.842,1004.7638920994672
15.848,1004.9211111111113
16.043,1009.9881464664309
16.168,1013.1877777777779
16.382,1018.5656596141309
16.448,1020.1877777777779
16.543,1022.4874622176701
16.803,1028.594356260511
16.848,1029.6322222222223
16.963,1032.2616545161745
17.088,1035.098888888889
17.303,1039.9763340919358
17.408,1042.387777777778
17.623,1047.4265618780232
17.728,1049.9433333333336
17.823,1052.254450275991
18.008,1056.8655555555558
18.203,1061.9244315874835
18.368,1066.4655555555557
18.503,1070.4173531229094
18.688,1076.1544444444446
18.722,1077.2454730428678
18.888,1082.7100000000003
19.002,1086.5466753850171
19.248,1095.4100000000003
19.463,1104.4885712734408
19.683,1114.60742103428
19.689,1114.8875000000003
19.822,1121.152056206814
20.003,1129.9027330140848
20.049,1132.1875000000002
20.243,1142.1027153742107
20.289,1144.5208333333337
20.402,1150.5709522073691
20.568,1159.7108333333338
20.682,1166.1324392252836
20.843,1175.3492605449749
20.888,1177.933055555556
21.048,1187.1775000000002
21.202,1196.3583724108507
21.368,1206.4663888888892
21.403,1208.6057383508019
21.528,1216.2886111111115
21.562,1218.3992577330744
21.863,1237.4960461086278
22.048,1249.5108333333337
22.102,1253.0501831257116
22.183,1258.3865761498082
22.328,1268.021944444445
22.543,1282.4998650282303
22.648,1289.6219444444448
22.803,1300.1865437546987
22.848,1303.2886111111113
23.003,1314.1339407114253
23.088,1320.155277777778
23.303,1335.5515121095389
23.488,1348.9330555555557
23.543,1352.9263634261235
23.648,1360.5775
23.722,1366.001736793158
23.903,1379.3980826293373
