time,distance
0.0,0.01500458652653025
0.091,6.661111111111115
0.107,7.836053691732861
0.265,19.541112270195683
0.45,33.38666666666667
0.625,46.53666590572522
0.69,51.45333333333333
0.985,73.9891063145582
1.01,75.89777777777778
1.21,91.17555555555555
1.285,96.9866906697337
1.451,109.98694444444445
1.645,125.23005386869896
1.691,128.85361111111112
1.885,144.18421572440053
1.971,151.02027777777778
2.125,163.3373930613019
2.371,183.13138888888886
2.386,184.33850725077787
2.571,199.24249999999998
2.646,205.3127607474649
2.886,224.85283339481518
2.971,231.79805555555552
3.106,242.84938851863996
3.251,254.74249999999995
3.406,267.479171398061
3.451,271.1869444444444
3.686,290.638434518129
3.691,291.0536111111111
3.865,305.532887993499
3.971,314.38694444444445
4.105,325.6187106241429
4.171,331.1647222222222
4.331,344.6313888888889
4.405,350.84715043329
4.531,361.40916666666664
4.705,375.9661074046947
4.771,381.4758333333333
4.886,391.0580623868491
5.091,408.0536111111111
5.106,409.2907775818704
5.251,421.20916666666665
5.265,422.3570261258501
5.426,435.5250680964561
5.706,458.36583523573404
5.731,460.40916666666664
6.051,486.63138888888886
6.166,496.0859177883107
6.291,506.3647222222222
6.326,509.23987860234854
6.571,529.3869444444443
6.586,530.6277582086203
6.626,533.9418108089844
6.771,545.9980555555554
6.885,555.4884122724425
7.01,565.914722222222
7.045,568.8403041008413
7.245,585.5987044504982
7.37,596.0147222222221
7.446,602.3073341334554
7.73,625.6147222222221
7.766,628.5584419541024
7.971,645.2963888888887
7.985,646.4390608042319
8.171,661.629722222222
8.205,664.4128564721833
8.331,674.7408333333331
8.425,682.446582793576
8.491,687.8519444444441
8.665,702.0696140887277
8.731,707.4519444444442
8.906,721.6989432024601
9.011,730.2408333333331
9.171,743.2630555555553
9.285,752.5386955853546
9.331,756.1963888888887
9.446,765.0037593185067
9.605,776.6011617800724
9.651,779.929722222222
9.811,791.2630555555554
9.865,794.7960039715003
9.946,799.7663144422696
10.051,805.9963888888888
10.186,813.8744163620694
10.211,815.2852777777777
10.365,823.5501075605663
10.411,825.8963888888887
10.571,833.6741666666666
10.726,840.7151428491371
10.811,844.3408333333332
10.925,848.9158455038669
11.131,856.6074999999998
11.331,863.829722222222
11.346,864.3581052151659
11.706,876.4316249413245
11.771,878.4963888888888
12.131,889.3963888888887
12.146,889.8381754075828
12.366,896.2512849251275
12.371,896.3963888888887
12.526,900.8832990772997
12.571,902.1741666666665
12.771,907.8408333333332
12.931,912.3741666666665
12.986,913.9555421671168
13.131,918.2074999999999
13.206,920.4669547223538
13.485,929.2137269639038
13.611,933.2741666666666
13.746,937.6892902249596
13.77,938.4858333333332
13.905,943.0443083415123
14.01,946.6858333333332
14.105,950.0563578501487
14.17,952.4191666666666
14.286,956.7730106416838
14.451,963.0347222222222
14.625,969.3312876156433
14.811,975.7347222222221
14.965,980.8041045376823
15.051,983.5347222222221
15.185,987.637856062146
15.331,991.934722222222
15.446,995.2207218581588
15.691,1001.934722222222
15.765,1003.8870834724364
15.971,1009.1680555555554
16.085,1012.0269889271515
16.171,1014.1680555555554
16.266,1016.527415908018
16.411,1020.1013888888888
16.546,1023.3762309264205
16.611,1024.934722222222
16.826,1030.0146160959196
16.851,1030.6013888888888
17.086,1036.1469882690221
17.091,1036.2680555555555
17.185,1038.5773505674783
17.406,1044.263023071757
17.451,1045.4680555555556
17.626,1050.3081793507943
17.731,1053.3236111111112
17.906,1058.5469851790883
17.931,1059.3236111111112
18.126,1065.6843863982535
18.285,1071.2838930447838
18.371,1074.4791666666667
18.506,1079.7313500047353
18.726,1088.8013317104949
18.771,1090.7013888888891
18.971,1099.3680555555559
18.986,1100.0424150973665
19.131,1106.7458333333336
19.166,1108.4032358672507
19.411,1120.3569444444447
19.427,1121.1541120963814
19.526,1126.1340061413352
19.571,1128.4458333333337
19.686,1134.5194959553583
19.851,1143.5347222222224
19.906,1146.578918066214
20.051,1154.701388888889
20.065,1155.493836412695
20.266,1167.0404169535711
20.291,1168.501388888889
20.61,1187.641388888889
20.625,1188.56328259782
20.885,1204.8309214068724
21.011,1212.8152777777777
21.211,1225.5930555555556
21.245,1227.8004423344753
21.445,1241.0125750458428
21.531,1246.7486111111111
21.626,1253.1025173364717
21.851,1268.2597222222223
21.906,1272.0001526994279
22.131,1287.4708333333335
22.285,1298.2497289926753
22.526,1315.3374989602758
22.531,1315.6930555555557
22.706,1328.1625811653519
22.811,1335.6819444444448
23.011,1350.126388888889
23.046,1352.6820643988417
23.225,1365.8710600638503
23.251,1367.7930555555558
23.451,1382.626388888889
23.626,1395.7828078149794
23.811,1409.8263888888891
23.985,1423.0962116437258
24.091,1431.215277777778
24.245,1443.063568561468
24.251,1443.5263888888892
24.426,1457.0648832701208
24.531,1465.226388888889
24.691,1477.7152777777778
24.706,1478.8880511942427
24.866,1491.4183021005008
24.891,1493.3819444444443
25.091,1509.1597222222224
25.166,1515.110360630807
25.385,1532.5802792111272
25.451,1537.8597222222224
25.665,1555.0148884206224
25.771,1563.5486111111113
25.906,1574.4586855448724
25.931,1576.4819444444447
26.211,1599.1930555555557
26.366,1611.8308373296968
26.571,1628.593055555556
26.685,1637.9185802581246
26.811,1648.2597222222225
26.905,1656.0209953500407
27.051,1668.126388888889
27.086,1671.0305715681081
27.29,1687.976666666667
27.326,1690.9720008885333
27.626,1715.9761656945923
27.651,1718.0600000000004
27.765,1727.5602618391447
27.811,1731.3933333333337
27.965,1744.2259924782209
28.051,1751.3933333333334
28.251,1768.0600000000004
28.365,1777.5438407345237
28.545,1792.4906560377622
28.731,1807.9266666666672
28.865,1819.0472950037797
29.091,1837.326666666667
29.266,1850.4739875255304
29.371,1857.937777777778
29.465,1864.35274669177
29.645,1875.9631193129562
29.811,1886.2933333333335
30.011,1898.4044444444446
30.086,1902.7853622060402
30.211,1909.848888888889
30.446,1922.215471903006
30.845,1940.4892283339907
31.026,1948.1850458832412
31.286,1959.3946615003515
31.411,1964.8488888888892
31.526,1969.9040567537754
31.691,1977.137777777778
31.851,1984.0266666666669
31.906,1986.3891385805787
32.006,1990.685529817683
32.205,1999.266759006346
32.211,1999.5266666666669
32.411,2008.2488888888893
32.651,2019.0488888888895
33.051,2038.2711111111116
33.146,2042.7377026387219
33.345,2051.900211491519
33.451,2056.8266666666673
33.685,2067.832642811233
33.771,2071.6711111111117
34.005,2081.232757188079
34.05,2082.9861111111118
34.365,2094.803582684907
34.491,2099.4011111111117
34.651,2105.1788888888896
34.746,2108.573848188496
34.811,2110.8677777777784
34.966,2116.2096661880764
34.971,2116.3788888888894
35.145,2122.146481669592
35.291,2126.8677777777784
35.345,2128.5994365595843
35.566,2135.608064079774
35.691,2139.5344444444454
35.851,2144.512222222223
36.046,2150.382031829663
36.126,2152.763400867804
36.131,2152.912222222223
36.371,2160.0455555555563
36.465,2162.8233706617875
36.611,2167.1788888888896
36.765,2171.93982413387
36.851,2174.6455555555563
36.966,2178.2952966368975
37.051,2181.0344444444454
37.305,2189.485611543242
37.331,2190.367777777779
37.586,2199.1971493925
37.611,2200.090000000001
37.851,2208.956666666668
37.866,2209.528910371267
38.051,2216.7900000000013
38.206,2223.246850794259
38.251,2225.17888888889
38.366,2230.224162101446
38.491,2235.9122222222236
38.626,2242.329864913943
38.846,2253.359161040531
38.891,2255.6900000000014
39.146,2269.343990081565
39.251,2275.0900000000015
39.426,2284.762449509572
39.491,2288.423333333335
39.726,2302.0642521748514
39.891,2311.9788888888907
40.126,2326.5310038038097
40.285,2336.5964353944623
40.291,2336.9788888888907
40.525,2352.0543562375337
40.531,2352.4455555555573
40.731,2365.6122222222243
40.745,2366.540738023249
40.891,2376.278888888891
41.005,2383.9809564599714
41.131,2392.6122222222243
41.385,2410.41926527366
41.531,2420.723333333335
41.625,2427.3382102196156
41.691,2432.0122222222244
41.806,2440.2717401848395
41.931,2449.3455555555574
41.965,2451.8172852498706
42.211,2469.801111111113
42.225,2470.8353235941618
42.386,2482.825425740127
42.571,2496.7011111111133
42.686,2505.3161350766
42.771,2511.7011111111133
42.866,2518.8723564845486
43.011,2529.9011111111136
43.085,2535.5758387312962
43.285,2551.0427050883713
43.331,2554.612222222225
43.531,2570.16777777778
43.706,2583.82344144591
43.731,2585.7788888888913
43.926,2601.079623525948
44.011,2607.7900000000027
44.086,2613.7359886034837
44.211,2623.6788888888914
44.306,2631.239781414394
44.411,2639.623333333336
44.746,2666.6933116497094
44.771,2668.723333333336
44.971,2685.0011111111135
45.166,2700.979780163711
45.211,2704.6677777777804
45.411,2721.0566666666696
45.486,2727.241017584273
45.651,2740.9233333333364
45.706,2745.4980001121125
45.866,2758.842498186313
46.051,2774.2566666666694
46.066,2775.5033223981186
46.211,2787.545555555558
46.371,2800.8788888888917
46.525,2813.7070499744304
46.611,2820.878888888891
46.785,2835.425554916053
46.851,2840.945555555558
47.091,2861.0122222222244
47.125,2863.858466548223
47.305,2878.9475988076756
47.565,2900.64843037054
47.571,2901.1455555555576
47.885,2926.8614507723887
47.931,2930.5455555555577
48.046,2939.6428266365106
48.131,2946.2677777777803
48.306,2959.655789910368
48.411,2967.5788888888915
48.546,2977.6794870401636
48.571,2979.5344444444468
48.725,2990.8377867938857
48.965,3008.0588568856956
49.011,3011.312222222225
49.211,3025.3122222222246
49.245,3027.6822139580354
49.411,3039.2566666666694
49.525,3047.2561653237244
49.746,3062.898755186529
49.926,3075.7704078605357
50.266,3100.2071712491297
50.411,3110.645555555558
50.571,3122.2011111111133
50.646,3127.6806278429954
50.926,3148.4297544788906
50.931,3148.801111111113
51.131,3163.6900000000023
51.146,3164.8151659277687
51.331,3178.8011111111136
51.505,3192.069025552603
51.611,3200.190000000002
51.771,3212.5011111111135
51.886,3221.417172792806
52.011,3231.1677777777804
52.166,3243.328643420684
52.251,3250.0344444444468
52.386,3260.742483541492
52.451,3265.923333333336
52.726,3287.9978787749837
52.811,3294.823333333336
52.826,3296.026600088286
53.051,3314.090000000003
53.186,3325.0576633909436
53.251,3330.3677777777802
53.531,3353.3900000000026
53.565,3356.1976396324812
53.771,3373.2566666666694
54.006,3392.8184445117668
54.091,3399.923333333336
54.251,3413.345555555558
54.306,3417.978483161317
54.451,3430.234444444447
54.465,3431.4200074498613
54.665,3448.3973739768708
54.771,3457.434444444447
54.931,3471.1233333333353
54.945,3472.321608619829
55.171,3491.6566666666686
55.186,3492.9393514531016
55.346,3506.617843032807
55.451,3515.6122222222243
55.626,3530.657836333615
55.765,3542.6430850580023
55.811,3546.6122222222243
56.011,3563.890000000002
56.065,3568.564386730504
56.145,3575.497646255879
56.365,3594.5764408306864
56.411,3598.5566666666687
56.611,3615.7788888888904
56.645,3618.6741376480827
56.811,3632.6677777777795
56.945,3643.8487004909857
57.091,3655.8455555555574
57.306,3673.015485073274
57.326,3674.59145684541
57.411,3681.26777777778
57.651,3699.934444444447
57.686,3702.635640478271
57.971,3724.4677777777797
58.086,3733.226437868212
58.211,3742.7344444444466
58.226,3743.87576396603
58.371,3754.8677777777802
58.386,3755.991607319877
58.646,3775.005175018041
58.731,3781.06777777778
58.806,3786.362611868553
58.931,3795.0677777777796
59.131,3808.678888888891
59.451,3829.8344444444465
59.625,3841.004300233452
59.726,3847.422580123522
59.771,3850.278888888891
59.905,3858.772246043476
60.105,3871.432085156822
60.131,3873.078888888891
60.331,3885.745555555558
60.345,3886.6304296296785
60.532,3898.363888888891
60.566,3900.458023323742
60.745,3911.252299801149
60.891,3919.903888888891
61.051,3929.281666666669
61.106,3932.443570539279
61.291,3942.881666666669
61.366,3947.0838642649105
61.571,3958.4372222222246
61.666,3963.57173631374
61.771,3969.2150000000024
61.906,3976.5270693003217
61.931,3977.881666666669
62.145,3989.479481063431
62.211,3993.1261111111135
62.385,4002.9875454301837
62.571,4013.7261111111134
62.625,4016.8406995758014
62.771,4025.3372222222247
62.865,4030.976173997933
62.931,4034.981666666669
63.211,4052.1705555555577
63.306,4058.111621979535
63.571,4074.970555555558
63.606,4077.222090620934
63.731,4085.3261111111137
63.866,4094.2479573001783
64.051,4106.659444444447
64.166,4114.399687134071
64.406,4130.714858150313
64.411,4131.059444444447
64.466,4134.863390220847
64.731,4153.4594444444465
64.806,4158.7586314162845
64.931,4167.6261111111135
65.026,4174.406354524698
65.131,4181.959444444447
65.226,4188.864145383947
65.426,4203.602422823623
65.571,4214.348333333336
65.646,4219.914391141856
65.726,4225.860499323501
65.811,4232.215000000004
65.987,4245.503771090162
66.011,4247.326111111114
66.211,4262.6038888888925
66.246,4265.299751631197
66.506,4285.532503196014
66.531,4287.492777777782
66.905,4317.071905410553
66.971,4322.326111111115
67.185,4339.418288530939
67.292,4348.006111111115
67.525,4366.816117136454
67.611,4373.791944444449
67.946,4401.123900642884
68.011,4406.458611111115
68.105,4414.192226723345
68.451,4442.758611111115
68.466,4443.99494319894
68.611,4455.958611111116
68.706,4463.867310447684
68.851,4476.025277777782
68.925,4482.24589148883
69.026,4490.751158277505
69.051,4492.858611111116
69.251,4509.747500000005
69.266,4511.015998168341
69.491,4530.080833333338
69.506,4531.355487418974
69.786,4555.232513934491
69.811,4557.369722222227
69.971,4571.058611111116
70.106,4582.600306240791
70.211,4591.591944444449
70.426,4610.091931936024
70.491,4615.70305555556
70.866,4648.198441292969
70.891,4650.369722222227
71.026,4662.102631047359
71.211,4678.191944444449
71.411,4695.580833333338
71.466,4700.361065012976
71.611,4712.969722222227
71.686,4719.505020955773
71.931,4740.880833333337
72.126,4757.839716880476
72.171,4761.747500000005
72.286,4771.726091109338
72.531,4792.947500000005
72.586,4797.704799780607
72.885,4823.532012865007
72.931,4827.5030555555595
73.046,4837.423056299821
73.091,4841.280833333337
73.205,4850.962231537069
73.411,4868.036388888893
73.445,4870.786682374714
73.612,4883.948888888893
73.705,4890.939338247173
73.892,4904.404444444448
73.945,4908.143530648314
74.092,4918.348888888892
74.305,4932.700746699419
74.331,4934.415000000004
74.531,4947.359444444448
74.565,4949.534989798936
74.706,4958.491167559354
74.771,4962.559444444448
74.971,4974.837222222226
75.006,4976.967913329829
75.306,4995.126732847072
75.371,4999.059444444448
75.526,5008.48473097962
75.531,5008.792777777781
75.705,5019.7178115345605
75.851,5028.970555555558
75.985,5037.405346687796
76.011,5039.059444444447
76.171,5049.415000000003
76.446,5067.525887418967
76.545,5074.121085153766
76.571,5075.859444444446
76.731,5086.615000000002
76.845,5094.339893559258
77.011,5105.670555555557
77.166,5116.325213616295
77.291,5125.037222222224
77.365,5130.268501773569
77.506,5140.381785214375
77.651,5150.837222222224
77.826,5163.451393553546
77.971,5173.9483333333355
78.046,5179.408623006162
78.211,5191.481666666668
78.266,5195.5178612817135
78.491,5212.09277777778
78.506,5213.201890186794
78.766,5232.513381915135
78.891,5241.870555555558
79.146,5261.119920334655
