time,distance
0.0,0.023030017625293636
0.012,0.8990100612512234
0.257,18.878611111111113
0.272,19.985292840083165
0.312,22.939751170932524
0.457,33.71194444444445
0.571,42.286605860561664
0.696,51.76972222222222
0.731,54.43425262200307
0.931,69.73766359493487
1.056,79.36972222222224
1.132,85.25145227142471
1.416,107.36972222222222
1.452,110.18289819909359
1.657,126.24805555555557
1.671,127.34928045394167
1.857,142.02583333333334
1.891,144.71472822464534
2.017,154.6925
2.111,162.14922587552437
2.177,167.4036111111111
2.351,181.3599266012455
2.417,186.67027777777776
2.592,200.75968235862763
2.697,209.22583333333333
2.857,222.15916666666666
2.971,231.42640015700823
3.017,235.18138888888888
3.132,244.61090187832843
3.291,257.7083099614783
3.337,261.4925
3.497,274.6480555555555
3.551,279.1042614051732
3.632,285.80883369843497
3.737,294.5147222222222
3.872,305.7224430774346
3.897,307.8036111111111
4.051,320.67218345781515
4.097,324.52583333333337
4.257,337.9480555555555
4.412,350.9566587076744
4.497,358.08138888888885
4.611,367.61967655552826
4.817,384.83694444444444
5.017,401.55916666666667
5.032,402.80757642849323
5.392,432.5062711572057
5.457,437.8591666666666
5.817,467.55916666666667
5.832,468.7968627259383
6.052,486.94663973796594
6.057,487.3591666666667
6.212,500.14817636543245
6.257,503.8591666666666
6.457,520.3591666666666
6.617,533.6480555555555
6.672,538.2257080465936
6.817,550.3147222222221
6.892,556.5846368467792
7.171,579.9984423636573
7.297,590.5813888888888
7.432,601.9109215511103
7.456,603.9197222222222
7.591,615.1781651909236
7.696,623.9197222222222
7.791,631.8376055198785
7.856,637.2530555555555
7.972,646.9031267965543
8.137,660.5916666666667
8.311,674.9686562461983
8.497,690.2916666666666
8.651,702.9600516296543
8.737,710.025
8.871,721.0173028161762
9.017,733.0472222222221
9.132,742.621874596204
9.377,762.6472222222222
9.451,768.3159768301743
9.657,783.1805555555555
9.771,790.9110959495227
9.857,796.5138888888888
9.952,802.474276086745
10.097,810.9805555555555
10.232,818.0813544113295
10.297,821.3138888888889
10.512,831.4479043267202
10.537,832.5805555555555
10.772,842.774340439899
10.777,842.9805555555555
10.871,846.7680605397627
11.092,855.1246747751668
11.137,856.7805555555556
11.312,863.1053217860623
11.417,866.8138888888889
11.592,872.8537442011731
11.617,873.7027777777778
11.812,880.2092930328428
11.971,885.3744237856243
12.057,888.125
12.192,892.3820106169104
12.412,899.1885075377542
12.457,900.5694444444445
12.657,906.6805555555555
12.672,907.1400358036021
12.817,911.6138888888888
12.852,912.7110829519761
13.097,920.5583333333333
13.113,921.0754015332826
13.212,924.2850909124888
13.257,925.7583333333333
13.372,929.5752358316886
13.537,935.1694444444445
13.592,937.060677442101
13.737,942.1138888888889
13.751,942.607464717983
13.952,949.8463319751918
13.977,950.7805555555556
14.296,963.1861111111111
14.311,963.7607282772112
14.571,973.4033899151005
14.697,977.8894444444445
14.897,984.7227777777779
14.931,985.8192866958303
15.131,991.8575654221496
15.217,994.3227777777779
15.312,996.9815216485708
15.537,1003.033888888889
15.592,1004.4698060141263
15.817,1010.1894444444446
15.971,1013.9960072035998
16.212,1019.7404834404645
16.217,1019.8561111111112
16.392,1023.8145459254962
16.497,1026.1561111111112
16.697,1030.6005555555555
16.732,1031.3665092065107
16.911,1035.2368113667817
16.937,1035.8005555555555
17.137,1040.1894444444445
17.312,1044.1705168676567
17.497,1048.4894444444444
17.671,1052.6159345092651
17.777,1055.256111111111
17.931,1059.35625082801
17.937,1059.5227777777777
18.112,1064.6033047429094
18.217,1067.767222222222
18.377,1072.7005555555554
18.392,1073.1800971316304
18.552,1078.5054802012558
18.577,1079.3672222222222
18.777,1086.5894444444443
18.852,1089.5238325034225
19.071,1098.779952212757
19.137,1101.6894444444442
19.351,1111.4335908602059
19.457,1116.4449999999997
19.592,1122.998190930769
19.617,1124.2227777777775
19.897,1138.2227777777773
20.052,1146.5163212874027
20.257,1157.9227777777776
20.371,1164.3271099981198
20.497,1171.5227777777775
20.591,1177.0225657032183
20.737,1185.7227777777773
20.772,1187.8208668051777
20.976,1200.195555555555
21.012,1202.4241645483064
21.312,1221.383023261976
21.337,1222.9586111111107
21.451,1230.1206629684373
21.497,1233.0474999999997
21.651,1243.1092447819117
21.737,1248.7808333333328
21.937,1261.9474999999995
22.051,1269.5903903956307
22.231,1281.9038415716625
22.417,1294.7474999999995
22.551,1304.0335715440228
22.777,1319.8474999999994
22.952,1332.33521879963
23.057,1339.914166666666
23.151,1346.746582859149
23.331,1359.9489153151344
23.497,1372.1808333333327
23.697,1386.9586111111105
23.772,1392.5222174966464
23.897,1401.8474999999994
24.132,1419.669308067439
24.531,1450.8000103431007
24.712,1465.1186687604898
24.972,1485.6546478428575
25.097,1495.5141666666664
25.212,1504.577166675897
25.377,1517.603055555555
25.537,1530.3141666666663
25.592,1534.7040532997041
25.692,1542.7131536814518
25.891,1558.7301385036783
25.897,1559.2141666666662
26.097,1575.3808333333332
26.337,1594.8474999999996
26.737,1627.6252777777772
26.832,1635.4445749698489
27.031,1651.8573652900595
27.137,1660.6252777777775
27.371,1680.0467229461344
27.457,1687.2030555555552
