time,distance
0.0,0.009840650129655251
0.095,6.915109628582174
0.301,22.010833333333334
0.335,24.518455459661524
0.502,36.91833333333334
0.595,43.90773077131027
0.782,58.073888888888895
0.835,62.0867439622613
0.982,73.24055555555556
1.195,89.61769434284432
1.221,91.63027777777779
1.421,107.18583333333333
1.455,109.83980365426697
1.596,120.87452619356753
1.661,125.98583333333333
1.861,141.81916666666666
1.896,144.6042107674465
2.196,168.60921789788128
2.261,173.81916666666666
2.416,186.2603338413473
2.421,186.66361111111107
2.595,200.80002688355108
2.741,212.70805555555552
2.875,223.60992809339962
2.901,225.7302777777777
3.061,238.84138888888882
3.336,261.59617087963676
3.435,269.8001808063731
3.461,271.95249999999993
3.621,285.1969444444444
3.735,294.6953219310873
3.901,308.6080555555555
4.056,321.6414983513787
4.181,332.17472222222216
4.255,338.4174218838461
4.396,350.3222196466176
4.541,362.47472222222217
4.716,376.96321750737343
4.861,388.8747222222221
4.936,395.0191453574967
5.101,408.4747222222221
5.156,412.930183780983
5.381,431.0302777777777
5.396,432.2331220361576
5.656,453.02998020390964
5.781,463.03027777777766
6.036,483.47854404881747
6.221,498.3524999999999
6.381,511.2413888888888
6.415,513.9826205548043
6.621,530.6413888888889
6.635,531.7806664406814
6.855,549.8218007452869
7.061,566.8191666666665
7.155,574.5736059456492
7.222,580.1016666666666
7.462,599.9016666666665
7.515,604.262654114232
7.622,613.0572222222221
7.715,620.7031169709702
7.916,637.2311321702651
7.941,639.2861111111109
8.255,665.1028279643334
8.261,665.597222222222
8.421,678.797222222222
8.621,695.2972222222221
8.656,698.1837135133153
8.835,712.9492413483385
8.861,715.0972222222222
9.061,731.6527777777777
9.256,747.8222130500612
9.341,754.8305555555554
9.501,767.7194444444443
9.635,777.3849404981997
9.975,798.0413378769699
9.981,798.3861111111111
10.176,809.3080375597976
10.301,815.8972222222222
10.515,826.2787281658561
10.581,829.275
10.676,833.4284272798133
10.936,844.0373234872651
10.981,845.8305555555555
11.096,850.3774022406496
11.221,855.1638888888889
11.436,862.7826647830378
11.541,866.3638888888889
11.756,873.5907442518736
11.861,877.0305555555556
11.956,880.0785129900462
12.141,885.8972222222222
12.336,891.9947698116819
12.501,897.1972222222222
12.636,901.5221778777158
12.821,907.5083333333333
12.855,908.6094411972961
13.021,914.0083333333333
13.135,917.7757464228714
13.381,926.0083333333333
13.596,933.1746912970561
13.816,940.6237043323582
13.822,940.8308333333333
13.955,945.4765759722
14.136,951.9575991644957
14.182,953.6308333333334
14.376,960.7902182638335
14.422,962.4975000000001
14.535,966.6944204645414
14.701,972.7275000000001
14.815,976.6500012050479
14.976,981.9402532651667
15.021,983.3941666666667
15.181,988.4608333333333
15.335,993.0576820256098
15.501,997.7941666666667
15.536,998.7802663569173
15.661,1002.2386111111111
15.695,1003.1485522018006
15.996,1010.6148185538933
16.181,1014.9497222222222
16.235,1016.2014563642263
16.316,1018.0675349955047
16.461,1021.3275
16.676,1025.9059690778818
16.781,1028.0830555555556
16.936,1031.269088280309
16.981,1032.1941666666667
17.136,1035.3959213849462
17.221,1037.1941666666667
17.436,1041.9454823147564
17.621,1046.1941666666667
17.676,1047.4745997820196
17.781,1049.9719444444445
17.855,1051.8110906643603
18.036,1056.5915467044247
18.061,1057.2830555555556
18.236,1062.3295745460018
18.341,1065.4497222222224
18.396,1067.0945851320648
18.501,1070.2941666666668
18.596,1073.3250508309106
18.776,1079.407283649406
18.861,1082.3941666666667
19.021,1088.2608333333333
19.076,1090.423795024562
19.381,1103.6608333333331
19.701,1118.5941666666665
19.901,1128.3719444444444
20.015,1134.2836933625572
20.315,1150.7645446383513
20.342,1152.2594444444444
20.515,1161.848311100243
20.622,1167.8927777777778
20.835,1180.3053514377111
20.862,1181.8927777777778
20.995,1189.7429336742002
21.022,1191.3594444444445
21.216,1203.282376619099
21.341,1211.1197222222224
21.476,1219.635868183903
21.736,1236.2411727480571
21.741,1236.5641666666668
21.901,1246.9641666666669
22.061,1257.4530555555557
22.115,1261.0370447195264
22.256,1270.4935947377066
22.301,1273.5197222222223
22.435,1282.5417789379312
22.501,1287.0197222222225
22.656,1297.6687317061044
22.741,1303.5530555555558
22.775,1305.9110532963657
22.981,1320.2863888888894
23.015,1322.6852907176888
23.255,1339.823477504537
23.301,1343.1308333333336
23.501,1357.5752777777782
23.696,1371.8040490765366
23.821,1381.0419444444449
24.156,1406.307331846232
24.261,1414.2863888888892
24.461,1429.5086111111113
24.496,1432.182370240714
24.661,1444.8419444444448
24.941,1466.5419444444447
24.955,1467.6294407580604
25.116,1480.1406244113073
25.221,1488.3197222222225
25.416,1503.5919512448513
25.421,1503.986388888889
25.736,1529.097756500361
25.741,1529.4975000000002
25.976,1548.2962585219027
25.981,1548.6975000000002
26.221,1568.0308333333335
26.255,1570.7763154520228
26.381,1580.9641666666669
26.455,1586.962523911291
26.701,1607.0086111111113
26.855,1619.6692272183782
26.862,1620.246388888889
27.035,1634.553164822612
27.222,1650.0463888888892
27.235,1651.12198497945
27.382,1663.2908333333337
27.395,1664.3710885022492
27.595,1681.089745759802
27.702,1690.0463888888892
27.776,1696.2297607509984
27.902,1706.7686111111113
28.061,1720.1511111111113
28.076,1721.4139908435186
28.221,1733.617777777778
28.236,1734.881336220703
28.435,1751.672989702606
28.541,1760.6400000000003
28.596,1765.2991050011283
28.896,1790.6990987034233
28.981,1797.795555555556
29.076,1805.6545814897388
29.235,1818.6410084090808
29.341,1827.1955555555558
29.436,1834.7896490954533
29.501,1839.817777777778
29.636,1849.5780375724203
29.781,1859.3400000000001
29.996,1873.06176547654
30.101,1879.428888888889
30.341,1893.2288888888893
30.375,1895.1313276879273
30.476,1900.7227253439046
30.621,1908.4733333333336
30.696,1912.3089311818258
30.876,1921.0464768917325
31.061,1929.8622222222225
31.136,1933.4627680216122
31.221,1937.506666666667
31.336,1942.8109003369711
31.581,1953.706666666667
31.596,1954.37200570025
31.821,1964.306666666667
31.836,1964.9596987794523
31.996,1971.8343803234925
32.256,1982.713589029042
32.301,1984.5733333333337
32.376,1987.6584952442358
32.621,1997.6400000000003
32.675,1999.8305874323898
32.821,2005.7511111111112
33.055,2015.2982188104684
33.101,2017.1844444444446
33.215,2021.8727371790028
33.341,2027.117777777778
33.395,2029.4002736914383
33.702,2042.7611111111112
33.875,2050.513288125395
33.902,2051.7055555555557
34.115,2060.810195952731
34.296,2068.2402317883048
34.302,2068.4833333333336
34.355,2070.6218853208084
34.502,2076.4833333333336
34.576,2079.4083239203296
34.742,2085.883333333333
34.876,2090.976476570375
34.981,2094.8458333333333
35.056,2097.528534163852
35.235,2103.7049812882615
35.301,2105.9569444444446
35.501,2112.7347222222224
35.555,2114.544797134971
35.661,2118.068055555556
35.736,2120.5345064629673
35.956,2127.663701744081
35.981,2128.468055555556
36.181,2134.8569444444447
36.341,2139.879166666667
36.396,2141.596990170429
36.541,2146.1013888888892
36.701,2150.9902777777784
36.861,2155.745833333334
36.956,2158.513578116598
37.096,2162.540779988107
37.141,2163.834722222223
37.421,2171.9236111111118
37.436,2172.3620838126917
37.621,2177.868055555556
37.776,2182.7610637830426
37.941,2188.1791666666672
38.015,2190.6446992269393
38.181,2196.3125000000005
38.276,2199.699232954728
38.316,2201.1574345791178
38.461,2206.5013888888893
38.621,2212.5013888888893
38.696,2215.4781554044707
38.941,2225.9236111111118
38.996,2228.365837113161
39.235,2239.3567476658245
39.261,2240.5902777777783
39.696,2262.328563793952
39.701,2262.5902777777783
40.075,2282.820094506307
40.102,2284.3111111111116
40.342,2297.7777777777783
40.415,2302.0341954076785
40.595,2312.8073976494406
40.662,2316.8000000000006
40.776,2323.547565342916
40.822,2326.311111111112
40.975,2335.7821740005193
40.982,2336.222222222223
41.182,2348.9444444444457
41.296,2356.2397816820726
41.422,2364.411111111112
41.616,2377.3798549418393
41.661,2380.4108333333343
41.821,2391.210833333334
41.876,2394.9579431340394
42.101,2410.4997222222228
42.156,2414.3446461646436
42.375,2429.808766255116
42.421,2433.077500000001
42.701,2453.1441666666674
42.716,2454.232578432981
42.875,2465.850099729375
42.901,2467.7552777777787
43.181,2488.3663888888896
43.195,2489.4085350315127
43.501,2512.4552777777785
43.616,2521.1609406543216
43.701,2527.6219444444455
43.776,2533.3523415852023
43.876,2541.030727403271
43.901,2542.955277777779
44.061,2555.3108333333344
44.116,2559.5654382415337
44.296,2573.521874547028
44.301,2573.9108333333347
44.461,2586.3997222222233
44.536,2592.28460999171
44.796,2612.818349823525
44.821,2614.7997222222234
44.956,2625.5172787327665
45.181,2643.499722222223
45.256,2649.5477312721
45.416,2662.534388583067
45.541,2672.699722222223
45.677,2683.7640603806467
45.701,2685.7219444444454
46.021,2712.0330555555565
46.035,2713.1915763718853
46.261,2731.96638888889
46.295,2734.8009996721476
46.582,2758.8055555555566
46.615,2761.56984502824
46.822,2778.9388888888902
46.915,2786.7783079836304
47.062,2799.2055555555567
47.296,2819.029717916522
47.302,2819.53888888889
47.582,2843.3388888888903
47.616,2846.229567723231
47.775,2859.744457766473
47.902,2870.53888888889
48.075,2885.2450436157983
48.182,2894.3388888888903
48.335,2907.3399943394043
48.381,2911.2538888888903
48.621,2931.5872222222238
48.676,2936.128638524282
48.901,2954.298333333335
48.916,2955.5048603873747
49.076,2968.3248825544106
49.101,2970.2983333333345
49.256,2982.2977571229912
49.501,3000.742777777779
49.556,3004.867152430995
49.701,3015.742777777779
49.856,3027.4403392615864
49.981,3036.742777777779
50.196,3052.1539853268787
50.341,3062.4427777777787
50.541,3076.7761111111117
50.616,3082.15319834336
50.696,3087.8834572073056
50.901,3102.6761111111123
51.036,3112.585213416833
51.141,3120.342777777779
51.341,3135.1761111111123
51.355,3136.220452963189
51.541,3150.176111111112
51.676,3160.376063634676
51.856,3174.061271159534
51.861,3174.4427777777787
52.061,3189.776111111112
52.256,3204.922782094128
52.435,3218.955025001521
52.461,3220.9983333333344
52.741,3243.0872222222233
52.815,3248.9520329226148
52.981,3262.15388888889
53.095,3271.263144119042
53.142,3275.03388888889
53.495,3303.662038558335
53.502,3304.23388888889
53.675,3318.408517178365
53.782,3327.1783333333337
53.816,3329.9612150269263
54.015,3346.2674762896145
54.022,3346.8450000000007
54.302,3370.178333333334
54.335,3372.943812790294
54.456,3383.0968869258304
54.462,3383.6005555555566
54.676,3401.5869199348326
54.742,3407.167222222223
54.895,3420.189648662962
55.061,3434.3708333333343
55.095,3437.270510158298
55.221,3448.0152777777785
55.276,3452.7174421139803
55.516,3473.327912009834
55.541,3475.481944444445
55.715,3490.508998037785
55.741,3492.759722222223
55.896,3506.206439366679
55.996,3514.907706991494
56.221,3534.493055555556
56.381,3548.4041666666676
56.581,3565.737500000001
56.821,3586.537500000001
56.896,3592.981993678993
57.141,3613.8263888888896
57.216,3620.1620235183423
57.381,3634.0930555555565
57.536,3647.2466617583914
57.581,3650.9819444444456
57.716,3661.8410564439364
57.781,3666.981944444445
57.896,3676.037665875111
58.256,3704.057957955727
58.436,3717.871725197332
58.636,3733.043481556308
58.781,3743.9263888888895
58.796,3745.046617622819
59.181,3773.2597222222225
59.255,3778.479868571994
59.495,3794.9855666932726
59.501,3795.3930555555557
59.702,3808.9047222222225
59.902,3822.015833333334
59.935,3824.1499346182113
60.062,3832.2825000000003
60.255,3844.356488633659
60.462,3857.0602777777785
60.535,3861.5167582454433
60.662,3869.226944444445
60.735,3873.6227390810236
61.062,3893.004722222223
61.135,3897.270799766354
61.295,3906.551832611972
61.422,3913.904722222223
61.701,3930.102222222223
61.736,3932.1473022813157
61.901,3941.7133333333345
62.136,3954.3878050092662
62.341,3965.057777777779
62.596,3978.508071828605
62.621,3979.8355555555568
62.676,3982.761079263979
62.821,3990.557777777779
62.896,3994.687822074882
63.141,4008.602222222223
63.176,4010.6288493358325
63.356,4021.194451495015
63.536,4031.967038125034
63.541,4032.2688888888897
63.716,4042.9228939364057
63.901,4054.36888888889
64.101,4066.980000000001
64.135,4069.1648678301754
64.396,4086.3786606593444
64.556,4097.128792585394
64.621,4101.502222222223
64.821,4115.002222222223
64.981,4125.935555555557
65.056,4131.117519004142
65.181,4139.824444444445
65.341,4151.06888888889
65.396,4154.970829111877
65.541,4165.346666666668
65.655,4173.579644141535
65.781,4182.746666666669
65.836,4186.767317451701
65.981,4197.413333333335
65.995,4198.443555147295
66.181,4212.191111111113
66.215,4214.726497225869
66.295,4220.7234702102005
66.422,4230.333055555558
66.515,4237.438941341727
66.755,4256.00480339533
66.862,4264.310833333335
66.995,4274.642306398501
67.062,4279.8663888888905
67.216,4291.949441808766
67.302,4298.733055555558
67.375,4304.507760526563
67.536,4317.302928788036
67.582,4320.977500000002
67.835,4341.334925220402
67.902,4346.75527777778
68.016,4355.9987556931355
68.062,4359.733055555557
68.262,4376.0108333333355
68.276,4377.156729378387
68.461,4392.373055555558
68.556,4400.201710792558
68.621,4405.573055555557
68.856,4425.143316672489
68.901,4428.90638888889
69.096,4445.253339976817
69.141,4449.039722222225
69.315,4463.738841951065
69.436,4474.006154455903
69.541,4482.928611111112
69.696,4496.120603772577
69.981,4520.450833333334
70.095,4530.214922229281
70.381,4554.784166666668
70.456,4561.24145254286
70.541,4568.5619444444455
70.701,4582.339722222223
70.756,4587.083508029337
70.896,4599.181754752032
71.216,4626.959290173741
71.476,4649.64012342676
71.621,4662.328611111112
71.896,4686.466805046689
71.901,4686.9063888888895
72.135,4707.505610387975
72.181,4711.5619444444455
72.395,4730.464509443513
72.581,4746.8952777777795
72.596,4748.218939255658
72.835,4769.280635287491
72.982,4782.205555555557
73.035,4786.859789639686
73.182,4799.761111111113
73.382,4817.316666666668
73.395,4818.455241955802
73.582,4834.8166666666675
73.615,4837.713700455963
73.822,4855.616666666669
74.095,4876.6661655716325
74.142,4880.1500000000015
74.382,4897.616666666669
74.455,4902.741669112614
74.662,4916.827777777779
74.675,4917.698237359387
74.955,4936.100390018809
75.022,4940.42777777778
75.181,4950.586111111113
75.336,4960.277193514905
75.341,4960.586111111113
75.581,4975.186111111113
75.716,4983.294719743359
75.861,4991.986111111113
75.896,4994.088820265614
76.181,5011.2750000000015
76.216,5013.3922011084705
76.375,5023.022612700591
76.381,5023.386111111113
76.621,5037.986111111112
76.756,5046.374173978373
76.941,5058.075000000002
76.956,5059.031696045517
77.276,5079.710468553173
77.341,5083.96388888889
77.556,5098.148633436096
77.781,5113.175000000002
77.836,5116.875039036126
78.061,5132.15277777778
78.196,5141.4746381454515
78.236,5144.258441860423
78.341,5151.5972222222235
78.476,5161.100144007384
78.541,5165.708333333335
78.775,5182.475813171754
78.781,5182.908333333336
78.941,5194.463888888891
78.975,5196.914891748796
79.101,5206.019444444447
79.355,5224.8825510447205
79.421,5229.84166666667
79.755,5255.076516356236
79.862,5263.161666666669
79.915,5267.161685455078
80.022,5275.250555555558
80.236,5291.596820311478
80.262,5293.583888888891
80.296,5296.180460821962
80.462,5308.861666666669
80.576,5317.642200999637
80.742,5330.328333333337
80.876,5340.209967631588
80.942,5344.828333333336
81.116,5355.967631660858
81.262,5364.739444444447
81.416,5373.821987198663
81.422,5374.16166666667
81.622,5384.772777777781
81.656,5386.477110694875
81.822,5394.383888888892
81.835,5394.966222047163
82.061,5404.342222222226
82.276,5412.567872824339
82.301,5413.475555555559
82.635,5424.593665358809
82.781,5429.208888888893
82.796,5429.6821489027825
82.941,5434.231111111115
83.036,5437.149273044259
83.181,5441.497777777781
83.236,5443.114163694739
83.541,5451.797777777781
83.676,5455.544320390192
83.781,5458.464444444448
84.015,5465.092768959744
84.021,5465.264444444449
84.221,5471.042222222227
84.236,5471.481866702643
84.436,5477.469984502132
84.501,5479.520000000005
84.661,5484.808888888893
84.696,5485.991043155323
84.857,5491.513518248517
85.036,5497.636647187128
85.061,5498.47555555556
85.261,5505.086666666671
85.335,5507.540204609731
85.661,5518.420000000005
85.735,5520.8717797879035
85.861,5525.086666666672
85.976,5529.077073639626
86.102,5533.588611111116
86.355,5543.007833455233
86.516,5549.105682383559
86.542,5550.088611111116
86.742,5557.699722222227
86.796,5559.823349184067
86.975,5567.137784321338
86.982,5567.433055555561
87.175,5575.847680378427
