time,distance
0.0,0.5046490909670802
0.203,15.79960492184999
0.383,29.388917926393916
0.723,55.12760035753153
0.868,66.13222222222223
1.028,78.31
1.103,84.06056446283537
1.383,105.72261769732988
1.388,106.10999999999999
1.588,121.61
1.603,122.77355097125064
1.788,137.16555555555556
1.962,150.86975960358075
2.068,159.25444444444446
2.228,171.92111111111114
2.343,181.0696591465661
2.468,191.05444444444447
2.623,203.48147446525334
2.708,210.32111111111115
2.843,221.22311408102038
2.908,226.4877777777778
3.183,248.85802190943284
3.268,255.7877777777778
3.283,257.01097922986503
3.508,275.3877777777778
3.643,286.47617804829304
3.708,291.83222222222224
3.988,315.01
4.022,317.83161292385995
4.228,334.9433333333333
4.463,354.45944080700485
4.548,361.5211111111111
4.708,374.81
4.763,379.3628298408128
4.908,391.31
4.922,392.4581837430373
5.122,408.75955966596666
5.228,417.3544444444444
5.388,430.28777777777776
5.402,431.4157076985882
5.628,449.55444444444447
5.643,450.75723472705783
5.803,463.5901672904572
5.908,472.0322222222223
6.083,486.15737682874897
6.222,497.40793547550027
6.268,501.13222222222225
6.468,517.3544444444445
6.522,521.7619337477608
6.602,528.3179378381828
6.822,546.4502242370039
6.868,550.2433333333335
7.068,566.7433333333333
7.102,569.5543050732814
7.268,583.2988888888889
7.402,594.3905312725183
7.548,606.4766666666667
7.763,624.2904209481452
7.783,625.9450764007056
7.868,632.9655555555556
8.108,652.698888888889
8.143,655.5712223378363
8.428,678.9211111111113
8.543,688.3163210899893
8.668,698.5211111111112
8.683,699.7460135118554
8.828,711.5877777777779
8.843,712.8124023616442
9.103,734.0330583381586
9.188,740.987777777778
9.263,747.1356338310725
9.388,757.2655555555557
9.588,772.5433333333334
9.908,793.6100000000001
10.082,803.7540878944775
10.183,809.2304931028352
10.228,811.5655555555556
10.362,818.1358287361481
10.562,827.2764229243545
10.588,828.4655555555556
10.788,837.5211111111113
10.802,838.1270348090497
10.989,845.7844444444446
11.023,847.1029608399139
11.202,853.7037867526863
11.348,858.9477777777779
11.508,864.6811111111111
11.563,866.5918527899153
11.748,872.8144444444445
11.823,875.3104609195493
12.028,882.07
12.123,885.1607856131498
12.228,888.5144444444445
12.363,892.6859361310967
12.388,893.4477777777779
12.602,899.8815639582735
12.668,901.8477777777779
12.842,907.0084862021304
13.028,912.5477777777779
13.082,914.1726175568492
13.228,918.6033333333335
13.322,921.4856253018608
13.388,923.5366666666669
13.668,932.5588888888891
13.763,935.7130452891043
14.028,944.7588888888891
14.063,945.9842987529616
14.188,950.447777777778
14.323,955.5144131494042
14.508,962.6255555555557
14.623,966.9467736412005
14.863,975.6501280137222
14.868,975.8255555555558
14.923,977.7389541813641
15.188,986.5811111111113
15.263,988.9947708938946
15.388,992.9144444444446
15.483,995.7817672640952
15.588,998.858888888889
15.683,1001.5807023192576
15.883,1007.116588901893
16.028,1010.9588888888891
16.103,1012.8890967164259
16.183,1014.9073227027412
16.268,1017.0255555555558
16.444,1021.3360989709811
16.468,1021.9144444444447
16.668,1026.636666666667
16.703,1027.4442588615689
16.963,1033.3486060291134
16.988,1033.925555555556
17.362,1042.902270309786
17.428,1044.5588888888894
17.642,1050.086029999291
17.749,1052.940555555556
17.982,1059.384852162746
18.068,1061.8902777777785
18.403,1072.4578154483409
18.468,1074.6680555555563
18.562,1077.9595434758235
18.908,1090.923611111112
18.923,1091.5083474472146
19.068,1097.2791666666676
19.163,1101.2374785749812
19.308,1107.5458333333343
19.382,1110.8749159854933
19.483,1115.5061259460742
19.508,1116.6569444444453
19.708,1125.9902777777786
19.723,1126.7127546332101
19.948,1137.9902777777786
19.963,1138.767308789593
20.243,1153.643369362748
20.268,1154.9680555555565
20.428,1163.4569444444453
20.563,1171.004907918004
20.668,1177.0569444444452
20.883,1189.7087829403526
20.948,1193.623611111112
21.323,1217.0309347652146
21.348,1218.623611111112
21.483,1227.275105551803
21.668,1239.2458333333343
21.868,1252.3013888888897
21.923,1255.9184135343612
22.068,1265.5236111111121
22.143,1270.5415533854327
22.388,1287.123611111112
22.583,1300.4319451102174
22.628,1303.523611111112
22.743,1311.4662634190358
22.988,1328.6236111111118
23.043,1332.530004178737
23.342,1354.065798347449
23.388,1357.4013888888896
23.503,1365.7595748856074
23.548,1369.0458333333338
23.662,1377.4227624823945
23.868,1392.6902777777782
23.902,1395.2158153962969
24.069,1407.6536111111116
24.162,1414.6224822496536
24.349,1428.7313888888893
24.402,1432.752661633893
24.549,1443.9536111111115
24.762,1460.280004350926
24.788,1462.276944444445
24.988,1477.665833333334
25.022,1480.2915600389288
25.163,1491.2147828071256
25.228,1496.265833333334
25.428,1511.8769444444451
25.463,1514.6260069640982
25.763,1538.382757577834
25.828,1543.5436111111117
25.983,1555.8567897815344
25.988,1556.2547222222229
26.162,1570.1419187782062
26.308,1581.8547222222228
26.442,1592.649148846858
26.468,1594.7436111111117
26.628,1607.6325000000006
26.903,1629.9854098165497
27.002,1638.0654270353084
27.028,1640.188055555556
27.188,1653.2547222222227
27.302,1662.564963438664
27.468,1676.1213888888894
27.623,1688.7796747037064
27.748,1698.9880555555562
27.822,1705.0314597094177
27.963,1716.5466106909232
28.108,1728.388055555556
28.283,1742.6787388216903
28.428,1754.5213888888895
28.503,1760.648275501187
28.668,1774.1213888888894
28.723,1778.6060529493998
28.948,1796.9880555555562
28.963,1798.2228228286226
29.223,1819.7416633888251
29.348,1829.6547222222227
29.603,1848.410456753733
29.788,1861.1880555555563
29.948,1871.854722222223
29.982,1874.0519784628518
30.188,1886.7880555555562
30.202,1887.617378526478
30.422,1900.0439914806566
30.628,1911.1102777777785
30.722,1916.1000265561051
30.789,1919.6075000000008
31.029,1931.740833333334
31.082,1934.35486693142
31.189,1939.5630555555563
31.282,1944.0033088922512
31.483,1953.381777936198
31.508,1954.538333333334
31.822,1968.8491841464624
31.828,1969.1161111111119
31.988,1976.138333333334
32.188,1984.7494444444453
32.223,1986.2421763569594
32.402,1993.8004910710795
32.428,1994.8827777777785
32.628,2003.105000000001
32.823,2011.1627941913018
32.908,2014.69388888889
33.068,2021.4050000000009
33.202,2027.264669123351
33.542,2042.8619852234544
33.548,2043.1383333333345
33.743,2052.107274868474
33.868,2057.7161111111122
34.082,2066.893680906422
34.148,2069.6161111111123
34.243,2073.4454404108174
34.503,2083.4734845038247
34.548,2085.171666666668
34.663,2089.4705320247913
34.788,2094.0383333333343
35.003,2101.552041687479
35.108,2105.1494444444456
35.323,2112.4735891229534
35.428,2115.99388888889
35.523,2119.133907072299
35.708,2125.09388888889
35.903,2131.0826611384737
36.068,2135.89388888889
36.203,2139.6449676625343
36.388,2144.6050000000014
36.422,2145.508453693433
36.588,2149.8272222222236
36.702,2152.5928877327638
36.948,2158.1272222222237
37.163,2162.7883126084107
37.383,2167.434350419594
37.389,2167.5597222222236
37.522,2170.3206575612116
37.703,2174.0260803999518
37.749,2174.9597222222237
37.943,2178.8799939860683
37.989,2179.8263888888905
38.102,2182.1970553117144
38.268,2185.7938888888907
38.382,2188.3392154100643
38.543,2192.0324290284284
38.588,2193.0827777777795
38.748,2196.9050000000016
38.902,2200.838780385261
39.068,2205.1716666666684
39.103,2206.0671763454616
39.228,2209.3050000000017
39.262,2210.240870502215
39.563,2219.6235066591394
39.748,2225.6272222222237
39.802,2227.3512214264624
39.883,2229.9131142497013
40.028,2234.649444444446
40.243,2242.370318963565
40.348,2246.382777777779
40.503,2252.5459913189034
40.548,2254.382777777779
40.703,2260.861793371064
40.788,2264.5161111111124
41.003,2274.0823673703185
41.188,2282.738333333335
41.243,2285.395892636874
41.348,2290.560555555557
41.422,2294.2529351964904
41.603,2303.4892753490867
41.628,2304.7938888888907
41.803,2314.1291404873323
41.908,2319.8827777777797
41.963,2322.9384291694328
42.068,2328.8605555555573
42.163,2334.3342131380386
42.343,2344.973193182619
42.428,2350.060555555557
42.588,2359.7494444444465
42.643,2363.1446114093033
42.948,2382.5494444444466
43.268,2403.5272222222243
43.468,2416.8605555555578
43.582,2424.5896817839866
43.882,2445.351615562225
43.909,2447.2405555555574
44.082,2459.4154976279983
44.189,2466.996111111113
44.402,2482.1901836578218
44.429,2484.1294444444466
44.562,2493.7288032533147
44.589,2495.6850000000018
44.783,2509.805744097305
44.908,2518.9897222222244
45.043,2528.9999502046935
45.303,2548.501603793281
45.308,2548.878611111113
45.468,2560.967500000002
45.628,2573.0563888888905
45.682,2577.1563956628543
45.823,2587.9281739991493
45.868,2591.389722222224
46.002,2601.7648590411172
46.068,2606.8897222222236
46.223,2618.9287187313116
46.308,2625.5563888888905
46.342,2628.2157056818123
46.548,2644.4230555555573
46.582,2647.1119998768168
46.822,2666.182731144062
46.868,2669.8452777777798
47.068,2685.7897222222236
47.263,2701.414115215911
47.388,2711.4786111111125
47.723,2738.6336948984363
47.828,2747.167500000002
48.028,2763.445277777779
48.063,2766.305664463919
48.228,2779.8341666666684
48.508,2802.8563888888907
48.522,2804.0119278079183
48.683,2817.3358806795704
48.788,2826.034166666668
48.983,2842.175777976626
48.988,2842.589722222224
49.303,2868.6654853467558
49.308,2869.078611111113
49.543,2888.46626243989
49.548,2888.878611111113
49.788,2908.678611111113
49.822,2911.4856267848477
49.948,2921.878611111113
50.022,2927.955355523834
50.268,2948.0119444444463
50.422,2960.426373040649
50.429,2960.9813888888907
50.602,2974.3681281250038
50.789,2988.4813888888907
50.802,2989.463611508323
50.949,3000.570277777779
50.962,3001.5508105306512
51.162,3016.575607603103
51.269,3024.4813888888903
51.343,3029.873711711799
51.469,3038.9813888888903
51.628,3050.5088888888904
51.643,3051.595527866909
51.788,3062.0644444444456
51.803,3063.1402832247422
52.002,3077.281407456652
52.108,3084.820000000001
52.163,3088.750424697987
52.463,3110.4060804626397
52.548,3116.5977777777794
52.643,3123.544915420205
52.802,3135.2230399044074
52.908,3142.9977777777794
53.003,3149.9518260436625
53.068,3154.7311111111126
53.203,3164.768083134245
53.348,3175.653333333335
53.563,3191.8689510271674
53.668,3199.831111111113
53.908,3218.1644444444464
53.942,3220.7816440568454
54.043,3228.588032992412
54.188,3239.8644444444467
54.263,3245.72380561114
54.443,3259.8594187653525
54.628,3274.453333333335
54.703,3280.382813239783
54.788,3287.1200000000017
54.903,3296.279235261163
55.148,3315.9200000000023
55.163,3317.1252777539016
55.388,3335.2533333333354
55.403,3336.4671484246755
55.563,3349.461487767966
55.823,3370.7496018057127
55.868,3374.4533333333356
55.943,3380.6387196362693
56.188,3400.9422222222247
56.242,3405.4335296352
56.388,3417.608888888891
56.622,3437.23305771547
56.668,3441.0977777777803
56.782,3450.679037554947
56.908,3461.2977777777805
56.962,3465.8661826357934
57.269,3491.9827777777805
57.442,3506.7309539737457
57.469,3509.038333333336
57.682,3527.313952976487
57.863,3542.8574783494805
57.869,3543.371666666669
57.922,3547.910834079199
58.069,3560.4827777777805
58.143,3566.8112404828353
58.309,3581.0161111111133
58.443,3592.5017137551417
58.548,3601.4638888888917
58.623,3607.8232736365426
58.802,3622.8437740000645
58.868,3628.308333333336
59.068,3644.641666666669
59.122,3649.020081643357
59.228,3657.5305555555583
59.303,3663.4154361514798
59.523,3680.1737789497934
59.548,3682.0638888888916
59.748,3697.119444444447
59.908,3709.0305555555583
59.963,3713.1106699810944
60.108,3723.8638888888913
60.268,3735.775000000003
60.428,3747.686111111114
60.523,3754.812687923013
60.663,3765.3380913872516
60.708,3768.686111111114
60.988,3789.219444444447
61.003,3790.322143640787
61.188,3803.886111111114
61.343,3814.8076012635365
61.508,3826.0194444444473
61.582,3830.945592975496
61.748,3841.819444444447
61.843,3847.9867664546755
61.883,3850.5723858066817
62.028,3859.863888888892
62.188,3869.9527777777807
62.263,3874.6258540763743
62.508,3889.686111111114
62.563,3893.039049091998
62.802,3907.4388385424872
62.828,3908.9750000000026
63.263,3933.753856996061
63.268,3934.030555555558
63.642,3954.3111540762097
63.669,3955.751388888891
63.909,3968.418055555558
63.982,3972.205285190979
64.162,3981.4318572544726
64.229,3984.8625000000025
64.343,3990.71031238233
64.389,3993.0847222222246
64.542,4001.0714624515167
64.549,4001.440277777781
64.749,4012.106944444447
64.863,4018.2983929121565
64.989,4025.2402777777806
65.183,4036.1454812677766
65.228,4038.7172222222243
65.388,4048.006111111114
65.443,4051.261766241318
65.668,4064.8838888888918
65.723,4068.2669587246332
65.942,4081.907345776078
65.988,4084.7950000000023
66.268,4102.606111111114
66.283,4103.583212100661
66.442,4114.093587784793
66.468,4115.828333333337
66.748,4134.728333333336
66.762,4135.68545067312
67.068,4156.861666666669
67.183,4164.894180911536
67.268,4170.861666666669
67.343,4176.153918284018
67.443,4183.248308374439
67.468,4185.028333333336
67.628,4196.495000000003
67.683,4200.481697156613
67.863,4213.661155278959
67.868,4214.0283333333355
68.028,4225.806111111114
68.103,4231.359437310769
68.363,4250.814745967322
68.388,4252.706111111113
68.523,4262.98530108723
68.748,4280.306111111114
68.823,4286.109272782375
68.983,4298.538165677159
69.108,4308.306111111114
69.244,4318.993190998448
69.268,4320.883888888891
69.588,4346.217222222224
69.602,4347.331921722849
69.828,4365.417222222225
69.862,4368.156734776667
70.149,4391.453888888892
70.182,4394.1442686543405
70.389,4411.053888888891
70.482,4418.660172210832
70.629,4430.720555555558
70.863,4450.08954732037
70.869,4450.587222222224
71.149,4473.84277777778
71.183,4476.674732005989
71.342,4489.947020668919
71.469,4500.598333333334
71.642,4515.191051072028
71.749,4524.242777777778
71.902,4537.201162816441
71.948,4541.102500000001
72.188,4561.502500000001
72.243,4566.1864222201975
72.468,4585.380277777779
72.483,4586.661736720587
72.643,4600.348397656453
72.668,4602.4913888888905
72.823,4615.808865068402
73.068,4636.935833333334
73.123,4641.684170594468
73.268,4654.213611111112
73.423,4667.630808800918
73.548,4678.480277777779
73.763,4697.219998901403
73.908,4709.880277777778
74.108,4727.324722222223
74.183,4733.842479020851
74.263,4740.777360188564
74.468,4758.524722222222
74.603,4770.229702605641
74.708,4779.324722222222
74.908,4796.6025
74.922,4797.811925977437
75.108,4813.880277777778
75.243,4825.5170619128985
75.423,4841.005745209009
75.428,4841.435833333333
75.628,4858.546944444444
75.823,4874.636682097378
76.002,4888.855214891616
76.028,4890.880277777778
76.308,4911.958055555556
76.382,4917.240256029855
76.548,4928.758055555555
76.662,4936.580883460564
76.709,4939.759722222222
77.062,4962.52504127857
77.069,4962.959722222222
77.242,4973.521443654639
77.349,4979.993055555556
77.383,4982.052888983504
77.582,4994.045755320187
77.589,4994.459722222222
77.869,5010.6375
77.902,5012.542066813525
78.023,5019.536316157801
78.029,5019.881944444444
78.243,5032.127601530153
78.309,5035.904166666666
78.462,5044.692911511711
78.628,5054.335277777777
78.662,5056.331328770384
78.788,5063.8019444444435
78.843,5067.109250787066
79.083,5081.81416885435
79.108,5083.357499999999
79.282,5094.163681339241
79.308,5095.8019444444435
79.463,5105.734404093954
79.563,5112.291818846318
79.788,5127.1352777777765
79.948,5137.713055555554
80.148,5151.213055555554
80.388,5167.746388888888
80.463,5172.944042480278
80.708,5190.057499999998
80.783,5195.375443264723
80.948,5207.190833333331
81.103,5218.379957931503
81.148,5221.635277777776
81.283,5231.409728161112
81.348,5236.135277777776
81.463,5244.54174934162
81.823,5271.236579005026
82.003,5284.7401501151635
82.203,5299.726855393604
82.348,5310.57972222222
82.363,5311.701838660526
82.748,5340.57972222222
82.822,5346.200869455119
83.062,5364.31771409012
83.068,5364.757499999997
83.269,5379.050833333331
83.469,5392.606388888886
83.502,5394.8738412520925
83.629,5403.450833333331
83.822,5414.1335449035305
84.029,5423.561944444441
84.102,5426.740153351
84.229,5432.117499999997
84.302,5435.146321060804
84.629,5447.895277777775
84.702,5450.4447944823005
84.862,5455.645547819841
84.989,5459.595277777775
85.268,5467.965277777775
85.303,5468.991519706966
85.468,5473.743055555553
85.703,5480.136027695993
85.908,5485.598611111109
86.163,5492.587006115118
86.188,5493.298611111109
86.243,5494.88498917266
86.388,5499.187499999997
86.463,5501.4646479463
86.708,5509.143055555553
86.743,5510.270495986865
86.923,5516.18902150452
87.103,5522.19822005528
87.108,5522.365277777775
87.283,5528.2170635741895
87.468,5534.365277777775
87.668,5540.920833333331
87.702,5542.031652577973
87.963,5550.54392771364
88.123,5555.806553399176
88.188,5557.965277777776
88.388,5564.687499999998
88.548,5570.198611111109
88.623,5572.8799754389875
88.748,5577.420833333332
88.908,5583.198611111109
88.963,5585.2519199740855
89.108,5590.920833333332
89.222,5595.705661655422
89.348,5601.187499999998
89.403,5603.5903519208005
89.548,5610.020833333331
89.562,5610.657533067044
89.748,5619.354166666664
89.782,5620.9716730691525
89.862,5624.803432622473
89.989,5631.069444444442
90.082,5635.868679934587
90.322,5648.927650101526
90.429,5654.780555555552
90.562,5662.019629496167
90.629,5665.724999999997
90.783,5674.505849843142
90.869,5679.524999999996
90.942,5683.833524280533
91.103,5693.472213431057
91.149,5696.247222222219
91.402,5711.663809757073
91.469,5715.802777777773
91.583,5722.9077580376925
91.629,5725.802777777774
91.829,5738.580555555552
91.843,5739.4832193371385
92.028,5751.515555555552
92.123,5757.802352786391
92.188,5762.137777777774
92.423,5777.979200034192
92.468,5781.037777777774
92.663,5794.387982081685
92.708,5797.50444444444
92.882,5809.7060440275545
93.003,5818.315787023723
93.108,5825.837777777774
93.17,5830.300907892631
